Source,Target,Weight
20,23,0.1362
20,24,0.13779
20,25,0.06405
20,26,0.0016
20,27,0.02386
20,28,0.01249
20,29,0.00509
20,30,0.00309
20,31,0.01194
21,1,0.02758
21,2,0.02565
21,3,0.10768
21,4,0.08312
21,5,0.07949
21,6,0.12377
21,7,0.13308
21,8,0.26677
21,9,0.0219
21,10,0.16042
21,11,0.15462
21,12,0.28201
21,13,0.25322
21,14,0.38328
21,15,0.15849
21,16,0.49494
21,17,0.56197
21,18,0.88693
21,19,1.75377
21,20,1.10204
21,22,0.24681
21,23,0.9479
21,24,0.19382
21,25,0.11179
21,26,0.00181
21,27,0.11735
21,28,0.0767
21,29,0.0196
21,30,0.01379
21,31,0.05759
22,1,0.01697
22,2,0.02698
22,3,0.07498
22,4,0.05318
22,5,0.02529
22,6,0.03989
22,7,0.02579
22,8,0.03429
22,9,0.03406
22,10,0.08974
22,11,0.12012
22,12,0.06778
22,13,0.09774
22,14,0.07039
22,15,0.07947
22,16,0.13349
22,17,0.233
22,18,0.13924
22,19,0.11855
22,20,0.05088
22,21,0.01456
22,23,2.61495
22,24,0.36845
22,25,0.16323
22,26,0.00793
22,27,0.06828
22,28,0.04433
22,29,0.01498
22,30,0.01153
22,31,0.0582
23,1,0.02001
23,2,0.0078
23,3,0.06543
23,4,0.04075
23,5,0.01495
23,6,0.07415
23,7,0.03146
23,8,0.03646
23,9,0.02215
23,10,0.06918
23,11,0.07182
23,12,0.04669
23,13,0.04304
23,14,0.04886
23,15,0.0747
23,16,0.10921
23,17,0.10669
23,18,0.08457
23,19,0.06043
23,20,0.03175
23,21,0.00782
23,22,0.56319
23,24,0.09773
23,25,0.19006
23,26,0.01889
23,27,0.06849
23,28,0.05648
23,29,0.0209
23,30,0.00642
23,31,0.03924
24,1,0.01359
24,2,0.0035
24,3,0.05777
24,4,0.01894
24,5,0.00795
24,6,0.07397
24,7,0.02701
24,8,0.03856
24,9,0.03655
24,10,0.0978
24,11,0.21718
24,12,0.0783
24,13,0.11722
24,14,0.09417
24,15,0.10854
24,16,0.13648
24,17,0.14096
24,18,0.45417
24,19,0.14882
24,20,0.11884
24,21,0.0096
24,22,0.34502
24,23,0.95521
24,25,0.19653
24,26,0.00156
24,27,0.03478
24,28,0.01377
24,29,0.0048
24,30,0.00186
24,31,0.00831
25,1,0.00786
25,2,0.0062
25,3,0.04293
25,4,0.02908
25,5,0.00924
25,6,0.02579
25,7,0.02341
25,8,0.03102
25,9,0.02131
25,10,0.05258
25,11,0.10661
25,12,0.05544
25,13,0.08638
25,14,0.07745
25,15,0.06529
25,16,0.11848
25,17,0.1183
25,18,0.32624
25,19,0.06498
25,20,0.07391
25,21,0.01533
25,22,0.30247
25,23,0.83937
25,24,0.42672
25,26,0.00244
25,27,0.03563
25,28,0.01632
25,29,0.00712
25,30,0.00307
25,31,0.00978
26,1,0.00639
26,2,0.00018
26,3,0.0974
26,4,0.05227
26,5,0.01091
26,6,0.03197
26,7,0.01015
26,8,0.01655
26,9,0.00564
26,10,0.07371
26,11,0.10154
26,12,0.13275
26,13,0.04287
26,14,0.03535
26,15,0.13313
26,16,0.46897
26,17,0.24182
26,18,0.17826
26,19,0.0158
26,20,0.00978
26,21,0.00301
26,22,0.44828
26,23,3.54714
26,24,0.06468
26,25,0.11809
26,27,0.27679
26,28,0.77208
26,29,0.35915
26,30,0.00978
26,31,0.0252
27,1,0.04919
27,2,0.02847
27,3,0.23008
27,4,0.28325
27,5,0.12728
27,6,0.14908
27,7,0.0545
27,8,0.06891
27,9,0.0462
27,10,0.18211
27,11,0.11699
27,12,0.16089
27,13,0.07168
27,14,0.06166
27,15,0.25882
27,16,0.85245
27,17,0.20878
27,18,0.10136
27,19,0.0457
27,20,0.02891
27,21,0.00929
27,22,0.06382
27,23,0.41719
27,24,0.04058
27,25,0.02575
27,26,0.01663
27,28,0.47039
27,29,0.04772
27,30,0.07168
27,31,0.08459
28,1,0.02848
28,2,0.01635
28,3,0.18036
28,4,0.07876
28,5,0.03591
28,6,0.14456
28,7,0.05394
28,8,0.04933
28,9,0.03195
28,10,0.15474
28,11,0.10388
28,12,0.09767
28,13,0.03503
28,14,0.03397
28,15,0.22771
28,16,0.45565
28,17,0.11467
28,18,0.07201
28,19,0.02139
28,20,0.01372
28,21,0.00522
28,22,0.03763
28,23,0.24505
28,24,0.01411
28,25,0.01586
28,26,0.01426
28,27,0.40166
28,29,0.16976
28,30,0.07259
28,31,0.07891
29,1,0.04221
29,2,0.03082
29,3,0.51755
29,4,0.19518
29,5,0.0663
29,6,0.28333
29,7,0.12775
29,8,0.10067
29,9,0.03997
29,10,0.42416
29,11,0.19798
29,12,0.34105
29,13,0.08834
29,14,0.08199
29,15,0.70899
29,16,1.60923
29,17,0.31807
29,18,0.21049
29,19,0.03922
29,20,0.03343
29,21,0.00504
29,22,0.11897
29,23,0.95777
29,24,0.02671
29,25,0.03586
29,26,0.08853
29,27,0.95198
29,28,1.74426
29,30,0.04595
29,31,0.0622
30,1,0.05049
30,2,0.05136
30,3,0.59759
30,4,0.21178
30,5,0.38908
30,6,0.30133
30,7,0.0987
30,8,0.14445
30,9,0.05327
30,10,0.35836
30,11,0.23319
30,12,0.4216
30,13,0.07795
30,14,0.05997
30,15,0.62668
30,16,1.3166
30,17,0.15328
30,18,0.11128
30,19,0.03154
30,20,0.02517
30,21,0.0098
30,22,0.1103
30,23,0.48615
30,24,0.03203
30,25,0.02092
30,26,0.00327
30,27,1.60436
30,28,2.36863
30,29,0.04821
30,31,0.0518
31,1,0.03163
31,2,0.03892
31,3,0.38259
31,4,0.14723
31,5,0.04261
31,6,0.09269
31,7,0.067
31,8,0.09264
31,9,0.05401
31,10,0.90009
31,11,0.18614
31,12,0.71524
31,13,0.08253
31,14,0.05871
31,15,1.08599
31,16,3.91896
31,17,0.45745
31,18,0.31065
31,19,0.05948
31,20,0.03465
31,21,0.00829
31,22,0.44585
31,23,3.35761
31,24,0.04495
31,25,0.05027
31,26,0.00259
31,27,0.86525
31,28,3.27503
31,29,0.15863
31,30,0.33845
